Filename,Annotation tag,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y,Occluded,On another road,Origin file,Origin frame number,Origin track,Origin track frame number
vid7/GOPR0461-converted-010.mp4_annotations/GOPR0461-converted-010-noLeftTurn-start26485.mp4_image11.png,noUTurn,418,292,438,311,0,0,raw_videos/GOPR0461-converted-010.mp4,26559,tracks/GOPR0461-converted-010-noLeftTurn-start26485.mp4,74
vid14/2021_0819_170825_087A.MOV_annotations/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image55.png,pedestrianCrossing,848,225,869,255,0,1,raw_videos/2021_0819_170825_087A.MOV,11854,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,3014
vid17/2021_0819_091643_072B.MOV_annotations/2021_0819_091643_072B-stop-start1820.MOV_image1.png,stop,266,310,306,347,0,0,raw_videos/2021_0819_091643_072B.MOV,1889,tracks/2021_0819_091643_072B-stop-start1820.MOV,69
vid6/GOPR0459-converted-009.mp4_annotations/GOPR0459-converted-009-noLeftTurn-start27490.mp4_image6.png,noLeftTurn,163,206,216,266,0,0,raw_videos/GOPR0459-converted-009.mp4,27589,tracks/GOPR0459-converted-009-noLeftTurn-start27490.mp4,99
vid10/2021_0901_101325_073A.MOV_annotations/2021_0901_101325_073A-signalAhead-start4145.MOV_image14.png,signalAhead,108,146,178,228,0,0,raw_videos/2021_0901_101325_073A.MOV,4274,tracks/2021_0901_101325_073A-signalAhead-start4145.MOV,129
vid14/2021_0819_170825_087A.MOV_annotations/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image32.png,pedestrianCrossing,772,239,787,263,0,1,raw_videos/2021_0819_170825_087A.MOV,11739,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2899
vid8/GOPR0462-converted-012.mp4_annotations/GOPR0462-converted-012-doNotBlock-start30715.mp4_image1.png,doNotBlock,837,249,890,309,0,0,raw_videos/GOPR0462-converted-012.mp4,30774,tracks/GOPR0462-converted-012-doNotBlock-start30715.mp4,59
vid32/2021_0819_101027_083A.MOV_annotations/2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image70.png,pedestrianCrossing,883,211,914,249,0,0,raw_videos/2021_0819_101027_083A.MOV,5479,tracks/2021_0819_101027_083A-pedestrianCrossing-start5095.MOV,384
vid30/2021_0821_074733_056A.MOV_annotations/2021_0821_074733_056A-keepRight-start1785.MOV_image6.png,keepRight,213,196,253,256,0,0,raw_videos/2021_0821_074733_056A.MOV,1849,tracks/2021_0821_074733_056A-keepRight-start1785.MOV,64
vid31/2021_0823_170831_037B.MOV_annotations/2021_0823_170831_037B-stop-start915.MOV_image9.png,stop,109,312,146,345,0,0,raw_videos/2021_0823_170831_037B.MOV,949,tracks/2021_0823_170831_037B-stop-start915.MOV,34
vid19/2021_0824_163113_046A.MOV_annotations/2021_0824_163113_046A-noLeftTurn-start5465.MOV_image10.png,speedLimit45,789,245,811,273,0,0,raw_videos/2021_0824_163113_046A.MOV,5804,tracks/2021_0824_163113_046A-noLeftTurn-start5465.MOV,339
